DoctorID,DoctorName,Specialization,ExperienceYears,City
175,Doctor_175,General,15,Hyderabad
176,Doctor_176,Cardiology,17,Bangalore
177,Doctor_177,Cardiology,20,Bangalore
178,Doctor_178,Cardiology,6,Hyderabad
179,Doctor_179,General,26,Bangalore
180,Doctor_180,Neurology,14,Hyderabad
181,Doctor_181,Cardiology,5,Chennai
182,Doctor_182,Cardiology,21,Hyderabad
183,Doctor_183,Neurology,31,Mumbai
184,Doctor_184,Orthopedics,12,Bangalore
185,Doctor_185,Neurology,32,Hyderabad
186,Doctor_186,Orthopedics,7,Hyderabad
187,Doctor_187,Orthopedics,20,Hyderabad
188,Doctor_188,Neurology,3,Mumbai
189,Doctor_189,Cardiology,25,Bangalore
190,Doctor_190,Orthopedics,6,Hyderabad
191,Doctor_191,Neurology,4,Bangalore
192,Doctor_192,Cardiology,22,Mumbai
193,Doctor_193,Orthopedics,23,Chennai
194,Doctor_194,General,28,Mumbai
195,Doctor_195,Cardiology,27,Chennai
196,Doctor_196,Neurology,8,Hyderabad
197,Doctor_197,General,15,Bangalore
198,Doctor_198,Neurology,1,Chennai
199,Doctor_199,Orthopedics,25,Bangalore
200,Doctor_200,Cardiology,4,Hyderabad
201,Doctor_201,General,20,Bangalore
202,Doctor_202,General,34,Chennai
203,Doctor_203,General,3,Hyderabad
204,Doctor_204,Orthopedics,21,Hyderabad
205,Doctor_205,Cardiology,35,Chennai
206,Doctor_206,Cardiology,10,Bangalore
207,Doctor_207,Orthopedics,21,Mumbai
208,Doctor_208,Neurology,33,Bangalore
209,Doctor_209,General,15,Chennai
210,Doctor_210,Neurology,10,Bangalore
211,Doctor_211,Orthopedics,4,Mumbai
212,Doctor_212,Neurology,26,Bangalore
213,Doctor_213,Neurology,29,Hyderabad
214,Doctor_214,Orthopedics,33,Bangalore
215,Doctor_215,General,6,Hyderabad
216,Doctor_216,Neurology,15,Mumbai
217,Doctor_217,Cardiology,28,Bangalore
218,Doctor_218,Neurology,19,Hyderabad
219,Doctor_219,Neurology,26,Mumbai
220,Doctor_220,Cardiology,10,Hyderabad
221,Doctor_221,General,9,Hyderabad
222,Doctor_222,Cardiology,22,Hyderabad
223,Doctor_223,General,6,Bangalore
224,Doctor_224,Orthopedics,31,Hyderabad
225,Doctor_225,Orthopedics,4,Chennai
226,Doctor_226,Neurology,26,Mumbai
227,Doctor_227,Neurology,17,Mumbai
228,Doctor_228,Orthopedics,6,Bangalore
229,Doctor_229,Cardiology,26,Bangalore
230,Doctor_230,Orthopedics,33,Bangalore
231,Doctor_231,General,28,Chennai
232,Doctor_232,Neurology,9,Mumbai
233,Doctor_233,Cardiology,9,Mumbai
234,Doctor_234,Neurology,31,Bangalore
235,Doctor_235,Orthopedics,13,Bangalore
236,Doctor_236,Cardiology,32,Hyderabad
237,Doctor_237,Orthopedics,26,Bangalore
238,Doctor_238,General,13,Mumbai
239,Doctor_239,Orthopedics,34,Hyderabad
240,Doctor_240,Cardiology,16,Chennai
241,Doctor_241,Orthopedics,16,Chennai
242,Doctor_242,Neurology,5,Mumbai
243,Doctor_243,Neurology,18,Hyderabad
244,Doctor_244,Cardiology,28,Bangalore
245,Doctor_245,Neurology,21,Bangalore
246,Doctor_246,General,6,Hyderabad
247,Doctor_247,General,8,Hyderabad
248,Doctor_248,Cardiology,27,Chennai
249,Doctor_249,Orthopedics,28,Bangalore
250,Doctor_250,Neurology,24,Mumbai
251,Doctor_251,Neurology,23,Bangalore
252,Doctor_252,Orthopedics,13,Chennai
253,Doctor_253,Orthopedics,21,Hyderabad
254,Doctor_254,Orthopedics,23,Bangalore
255,Doctor_255,Orthopedics,2,Hyderabad
256,Doctor_256,Neurology,20,Bangalore
257,Doctor_257,General,11,Mumbai
258,Doctor_258,Cardiology,23,Mumbai
259,Doctor_259,Cardiology,29,Bangalore
260,Doctor_260,Orthopedics,10,Bangalore
261,Doctor_261,General,29,Hyderabad
262,Doctor_262,Neurology,3,Hyderabad
263,Doctor_263,Neurology,15,Chennai
264,Doctor_264,Cardiology,13,Chennai
265,Doctor_265,Orthopedics,24,Bangalore
266,Doctor_266,General,10,Mumbai
267,Doctor_267,Cardiology,6,Chennai
268,Doctor_268,General,8,Chennai
269,Doctor_269,Orthopedics,4,Mumbai
270,Doctor_270,Orthopedics,16,Hyderabad
271,Doctor_271,Cardiology,10,Hyderabad
272,Doctor_272,Orthopedics,19,Hyderabad
273,Doctor_273,General,1,Bangalore
274,Doctor_274,General,22,Bangalore
275,Doctor_275,Cardiology,8,Hyderabad
276,Doctor_276,Orthopedics,20,Mumbai
277,Doctor_277,Neurology,29,Hyderabad
278,Doctor_278,Orthopedics,31,Hyderabad
279,Doctor_279,Cardiology,2,Bangalore
280,Doctor_280,Cardiology,22,Mumbai
281,Doctor_281,Neurology,14,Chennai
282,Doctor_282,Cardiology,35,Mumbai
283,Doctor_283,Cardiology,14,Bangalore
284,Doctor_284,Neurology,14,Chennai
285,Doctor_285,Neurology,35,Bangalore
286,Doctor_286,General,34,Hyderabad
287,Doctor_287,Cardiology,17,Chennai
288,Doctor_288,Neurology,31,Bangalore
289,Doctor_289,General,10,Hyderabad
290,Doctor_290,Cardiology,2,Bangalore
291,Doctor_291,Neurology,25,Mumbai
292,Doctor_292,Cardiology,34,Bangalore
293,Doctor_293,General,3,Mumbai
294,Doctor_294,Orthopedics,17,Bangalore
295,Doctor_295,Cardiology,11,Hyderabad
296,Doctor_296,Cardiology,4,Mumbai
297,Doctor_297,Cardiology,19,Mumbai
298,Doctor_298,Cardiology,13,Hyderabad
299,Doctor_299,Neurology,18,Mumbai
300,Doctor_300,Orthopedics,4,Bangalore
301,Doctor_301,Cardiology,30,Bangalore
302,Doctor_302,Neurology,1,Mumbai
303,Doctor_303,Orthopedics,5,Bangalore
304,Doctor_304,General,25,Mumbai
305,Doctor_305,General,18,Chennai
306,Doctor_306,General,24,Bangalore
307,Doctor_307,General,7,Mumbai
308,Doctor_308,General,2,Bangalore
309,Doctor_309,Orthopedics,19,Chennai
310,Doctor_310,Cardiology,25,Chennai
311,Doctor_311,General,15,Bangalore
312,Doctor_312,Cardiology,25,Chennai
313,Doctor_313,Cardiology,33,Bangalore
314,Doctor_314,Cardiology,7,Hyderabad
315,Doctor_315,Cardiology,21,Hyderabad
316,Doctor_316,Cardiology,32,Chennai
317,Doctor_317,Orthopedics,35,Bangalore
318,Doctor_318,Cardiology,6,Hyderabad
319,Doctor_319,Orthopedics,12,Mumbai
320,Doctor_320,Orthopedics,13,Mumbai
321,Doctor_321,Cardiology,33,Mumbai
322,Doctor_322,Orthopedics,30,Bangalore
323,Doctor_323,General,2,Chennai
324,Doctor_324,General,3,Bangalore
325,Doctor_325,General,16,Chennai
326,Doctor_326,Cardiology,34,Bangalore
327,Doctor_327,General,20,Bangalore
328,Doctor_328,Neurology,22,Bangalore
329,Doctor_329,Neurology,32,Hyderabad
330,Doctor_330,Neurology,26,Mumbai
331,Doctor_331,General,11,Mumbai
332,Doctor_332,Orthopedics,2,Bangalore
333,Doctor_333,Neurology,23,Mumbai
334,Doctor_334,Orthopedics,23,Mumbai
335,Doctor_335,Orthopedics,23,Chennai
336,Doctor_336,Cardiology,20,Hyderabad
337,Doctor_337,Neurology,16,Mumbai
338,Doctor_338,Cardiology,33,Bangalore
339,Doctor_339,Cardiology,18,Bangalore
340,Doctor_340,Cardiology,4,Chennai
341,Doctor_341,General,17,Mumbai
342,Doctor_342,Cardiology,25,Bangalore
343,Doctor_343,Orthopedics,2,Bangalore
344,Doctor_344,Neurology,18,Hyderabad
345,Doctor_345,Orthopedics,15,Mumbai
346,Doctor_346,Neurology,10,Hyderabad
347,Doctor_347,General,22,Hyderabad
348,Doctor_348,Neurology,26,Mumbai
349,Doctor_349,Neurology,9,Hyderabad
350,Doctor_350,Neurology,6,Mumbai
351,Doctor_351,Neurology,25,Mumbai
352,Doctor_352,Orthopedics,34,Mumbai
353,Doctor_353,Neurology,15,Hyderabad
354,Doctor_354,Cardiology,27,Mumbai
355,Doctor_355,Neurology,16,Mumbai
356,Doctor_356,Cardiology,10,Bangalore
357,Doctor_357,General,28,Hyderabad
358,Doctor_358,Cardiology,20,Hyderabad
359,Doctor_359,Orthopedics,22,Mumbai
360,Doctor_360,Cardiology,29,Bangalore
361,Doctor_361,Orthopedics,35,Bangalore
362,Doctor_362,Cardiology,9,Chennai
363,Doctor_363,Neurology,14,Chennai
364,Doctor_364,General,9,Bangalore
365,Doctor_365,Orthopedics,35,Hyderabad
366,Doctor_366,Orthopedics,13,Hyderabad
367,Doctor_367,Neurology,9,Mumbai
368,Doctor_368,Neurology,20,Chennai
369,Doctor_369,Cardiology,34,Bangalore
370,Doctor_370,Orthopedics,9,Mumbai
371,Doctor_371,Cardiology,28,Hyderabad
372,Doctor_372,Neurology,10,Mumbai
373,Doctor_373,Orthopedics,11,Mumbai
374,Doctor_374,General,21,Bangalore
375,Doctor_375,General,5,Mumbai
376,Doctor_376,Orthopedics,35,Bangalore
377,Doctor_377,Orthopedics,8,Chennai
378,Doctor_378,Neurology,12,Mumbai
379,Doctor_379,Orthopedics,21,Hyderabad
380,Doctor_380,Orthopedics,10,Hyderabad
381,Doctor_381,General,2,Mumbai
382,Doctor_382,Neurology,21,Chennai
383,Doctor_383,Cardiology,27,Hyderabad
384,Doctor_384,Orthopedics,27,Chennai
385,Doctor_385,Neurology,20,Mumbai
386,Doctor_386,Neurology,29,Chennai
387,Doctor_387,General,18,Bangalore
388,Doctor_388,Orthopedics,10,Hyderabad
389,Doctor_389,Orthopedics,13,Chennai
390,Doctor_390,Neurology,7,Hyderabad
391,Doctor_391,Orthopedics,9,Chennai
392,Doctor_392,General,12,Hyderabad
393,Doctor_393,General,2,Hyderabad
394,Doctor_394,General,18,Mumbai
395,Doctor_395,Orthopedics,15,Chennai
396,Doctor_396,Orthopedics,15,Mumbai
397,Doctor_397,General,15,Hyderabad
398,Doctor_398,Cardiology,2,Chennai
399,Doctor_399,Neurology,23,Chennai
400,Doctor_400,Cardiology,6,Bangalore
401,Doctor_401,Orthopedics,31,Hyderabad
402,Doctor_402,Neurology,9,Bangalore
403,Doctor_403,Neurology,33,Bangalore
404,Doctor_404,Orthopedics,31,Chennai
405,Doctor_405,Cardiology,24,Bangalore
406,Doctor_406,Cardiology,12,Hyderabad
407,Doctor_407,Cardiology,25,Mumbai
408,Doctor_408,Cardiology,32,Bangalore
409,Doctor_409,General,31,Bangalore
410,Doctor_410,Neurology,9,Chennai
411,Doctor_411,Cardiology,11,Chennai
412,Doctor_412,Orthopedics,13,Chennai
413,Doctor_413,General,15,Mumbai
414,Doctor_414,Neurology,3,Chennai
415,Doctor_415,Orthopedics,27,Hyderabad
416,Doctor_416,General,1,Hyderabad
417,Doctor_417,Neurology,18,Chennai
418,Doctor_418,Orthopedics,27,Chennai
419,Doctor_419,Neurology,15,Mumbai
420,Doctor_420,General,13,Mumbai
421,Doctor_421,Cardiology,14,Hyderabad
422,Doctor_422,General,5,Mumbai
423,Doctor_423,Orthopedics,12,Chennai
424,Doctor_424,Cardiology,29,Mumbai
425,Doctor_425,Neurology,32,Chennai
426,Doctor_426,Neurology,21,Hyderabad
427,Doctor_427,Neurology,30,Bangalore
428,Doctor_428,General,16,Mumbai
429,Doctor_429,Neurology,28,Hyderabad
430,Doctor_430,Neurology,26,Hyderabad
431,Doctor_431,Neurology,3,Mumbai
432,Doctor_432,General,25,Bangalore
433,Doctor_433,Orthopedics,21,Chennai
434,Doctor_434,Cardiology,26,Hyderabad
435,Doctor_435,Neurology,35,Hyderabad
436,Doctor_436,General,34,Bangalore
437,Doctor_437,Neurology,3,Chennai
438,Doctor_438,Cardiology,34,Hyderabad
439,Doctor_439,Orthopedics,7,Bangalore
440,Doctor_440,Orthopedics,29,Mumbai
441,Doctor_441,Neurology,30,Bangalore
442,Doctor_442,Cardiology,3,Bangalore
443,Doctor_443,Neurology,16,Hyderabad
444,Doctor_444,Orthopedics,34,Chennai
445,Doctor_445,General,35,Mumbai
446,Doctor_446,General,26,Bangalore
447,Doctor_447,General,3,Mumbai
448,Doctor_448,Cardiology,25,Chennai
449,Doctor_449,Cardiology,34,Mumbai
450,Doctor_450,Orthopedics,4,Mumbai
451,Doctor_451,Cardiology,13,Hyderabad
452,Doctor_452,Orthopedics,19,Chennai
453,Doctor_453,Orthopedics,29,Bangalore
454,Doctor_454,Neurology,26,Hyderabad
455,Doctor_455,General,20,Hyderabad
456,Doctor_456,General,19,Bangalore
457,Doctor_457,Orthopedics,30,Chennai
458,Doctor_458,Cardiology,11,Mumbai
459,Doctor_459,Orthopedics,28,Chennai
460,Doctor_460,General,19,Chennai
461,Doctor_461,Neurology,4,Mumbai
462,Doctor_462,General,34,Mumbai
463,Doctor_463,Orthopedics,10,Mumbai
464,Doctor_464,Orthopedics,30,Chennai
465,Doctor_465,General,29,Bangalore
466,Doctor_466,General,6,Chennai
467,Doctor_467,Cardiology,33,Bangalore
468,Doctor_468,Neurology,8,Chennai
469,Doctor_469,General,12,Bangalore
470,Doctor_470,Neurology,35,Mumbai
471,Doctor_471,Neurology,9,Chennai
472,Doctor_472,Cardiology,26,Chennai
473,Doctor_473,Orthopedics,27,Hyderabad
474,Doctor_474,Neurology,21,Bangalore
475,Doctor_475,Neurology,29,Chennai
476,Doctor_476,Neurology,2,Chennai
477,Doctor_477,Neurology,12,Mumbai
478,Doctor_478,Orthopedics,30,Bangalore
479,Doctor_479,Cardiology,13,Bangalore
480,Doctor_480,Neurology,30,Chennai
481,Doctor_481,General,6,Bangalore
482,Doctor_482,Orthopedics,17,Bangalore
483,Doctor_483,Cardiology,21,Bangalore
484,Doctor_484,General,11,Bangalore
485,Doctor_485,General,8,Bangalore
486,Doctor_486,General,6,Hyderabad
487,Doctor_487,Neurology,8,Hyderabad
488,Doctor_488,Neurology,29,Chennai
489,Doctor_489,General,24,Bangalore
490,Doctor_490,Cardiology,6,Mumbai
491,Doctor_491,Neurology,34,Chennai
492,Doctor_492,Cardiology,25,Chennai
493,Doctor_493,Neurology,33,Bangalore
494,Doctor_494,Neurology,11,Bangalore
495,Doctor_495,Neurology,25,Hyderabad
496,Doctor_496,Cardiology,25,Chennai
497,Doctor_497,Neurology,3,Chennai
498,Doctor_498,Cardiology,11,Bangalore
499,Doctor_499,Neurology,22,Chennai
500,Doctor_500,Orthopedics,10,Mumbai
501,Doctor_501,Neurology,11,Bangalore
502,Doctor_502,General,10,Chennai
503,Doctor_503,Cardiology,12,Hyderabad
504,Doctor_504,Orthopedics,4,Hyderabad
505,Doctor_505,Cardiology,27,Mumbai
506,Doctor_506,Neurology,20,Mumbai
507,Doctor_507,General,20,Bangalore
508,Doctor_508,General,29,Mumbai
509,Doctor_509,General,19,Chennai
510,Doctor_510,Neurology,12,Bangalore
511,Doctor_511,Neurology,8,Hyderabad
512,Doctor_512,General,9,Chennai
513,Doctor_513,Neurology,13,Chennai
514,Doctor_514,Neurology,1,Mumbai
515,Doctor_515,Orthopedics,17,Chennai
516,Doctor_516,Neurology,1,Bangalore
517,Doctor_517,Orthopedics,30,Mumbai
518,Doctor_518,General,32,Chennai
519,Doctor_519,Cardiology,32,Hyderabad
520,Doctor_520,Neurology,35,Mumbai
521,Doctor_521,General,1,Hyderabad
522,Doctor_522,General,32,Bangalore
523,Doctor_523,Neurology,16,Hyderabad
524,Doctor_524,Cardiology,14,Chennai
525,Doctor_525,Cardiology,31,Hyderabad
526,Doctor_526,Neurology,30,Mumbai
527,Doctor_527,General,27,Bangalore
528,Doctor_528,Neurology,29,Mumbai
529,Doctor_529,Cardiology,6,Chennai
530,Doctor_530,Neurology,1,Hyderabad
531,Doctor_531,General,16,Chennai
532,Doctor_532,Cardiology,18,Hyderabad
533,Doctor_533,Cardiology,14,Bangalore
534,Doctor_534,Cardiology,4,Bangalore
535,Doctor_535,General,12,Chennai
536,Doctor_536,Neurology,10,Bangalore
537,Doctor_537,Cardiology,4,Hyderabad
538,Doctor_538,General,23,Hyderabad
539,Doctor_539,General,3,Mumbai
540,Doctor_540,Orthopedics,10,Hyderabad
541,Doctor_541,Cardiology,3,Mumbai
542,Doctor_542,General,20,Bangalore
543,Doctor_543,Neurology,22,Mumbai
544,Doctor_544,General,6,Chennai
545,Doctor_545,General,4,Hyderabad
546,Doctor_546,Orthopedics,7,Chennai
547,Doctor_547,Cardiology,27,Mumbai
548,Doctor_548,General,12,Bangalore
549,Doctor_549,Neurology,11,Mumbai
550,Doctor_550,Orthopedics,19,Chennai
551,Doctor_551,General,12,Mumbai
552,Doctor_552,Neurology,30,Chennai
553,Doctor_553,Cardiology,24,Hyderabad
554,Doctor_554,Orthopedics,3,Chennai
555,Doctor_555,General,6,Chennai
556,Doctor_556,Orthopedics,20,Chennai
557,Doctor_557,Neurology,21,Chennai
558,Doctor_558,Cardiology,24,Mumbai
559,Doctor_559,Cardiology,25,Hyderabad
560,Doctor_560,Cardiology,5,Bangalore
561,Doctor_561,Cardiology,28,Mumbai
562,Doctor_562,General,5,Mumbai
563,Doctor_563,Neurology,19,Mumbai
564,Doctor_564,Orthopedics,31,Chennai
565,Doctor_565,General,9,Bangalore
566,Doctor_566,Orthopedics,8,Mumbai
567,Doctor_567,Cardiology,18,Mumbai
568,Doctor_568,Neurology,22,Bangalore
569,Doctor_569,General,34,Hyderabad
570,Doctor_570,Orthopedics,27,Bangalore
571,Doctor_571,Orthopedics,34,Bangalore
572,Doctor_572,General,14,Chennai
573,Doctor_573,Orthopedics,14,Mumbai
574,Doctor_574,Orthopedics,4,Chennai
575,Doctor_575,General,7,Hyderabad
576,Doctor_576,Neurology,34,Mumbai
577,Doctor_577,General,6,Hyderabad
578,Doctor_578,General,31,Hyderabad
579,Doctor_579,Neurology,19,Mumbai
580,Doctor_580,Orthopedics,28,Chennai
581,Doctor_581,General,21,Mumbai
582,Doctor_582,Orthopedics,17,Bangalore
583,Doctor_583,Orthopedics,34,Mumbai
584,Doctor_584,Orthopedics,23,Bangalore
585,Doctor_585,General,9,Bangalore
586,Doctor_586,Neurology,32,Bangalore
587,Doctor_587,Cardiology,34,Mumbai
588,Doctor_588,Neurology,32,Chennai
589,Doctor_589,General,32,Mumbai
590,Doctor_590,Neurology,12,Hyderabad
591,Doctor_591,Cardiology,15,Chennai
592,Doctor_592,Neurology,19,Chennai
593,Doctor_593,General,13,Mumbai
594,Doctor_594,Orthopedics,1,Mumbai
595,Doctor_595,Cardiology,8,Bangalore
596,Doctor_596,Neurology,2,Hyderabad
597,Doctor_597,General,30,Hyderabad
598,Doctor_598,Cardiology,8,Bangalore
599,Doctor_599,Cardiology,14,Chennai
600,Doctor_600,Neurology,27,Chennai
601,Doctor_601,General,27,Mumbai
602,Doctor_602,General,3,Hyderabad
603,Doctor_603,Cardiology,22,Chennai
604,Doctor_604,Cardiology,23,Mumbai
605,Doctor_605,Orthopedics,14,Bangalore
606,Doctor_606,Neurology,1,Mumbai
607,Doctor_607,Orthopedics,13,Bangalore
608,Doctor_608,Cardiology,19,Hyderabad
609,Doctor_609,Cardiology,17,Hyderabad
610,Doctor_610,General,5,Chennai
611,Doctor_611,General,20,Mumbai
612,Doctor_612,Orthopedics,20,Hyderabad
613,Doctor_613,Cardiology,33,Chennai
614,Doctor_614,Neurology,21,Mumbai
615,Doctor_615,General,1,Mumbai
616,Doctor_616,General,8,Chennai
617,Doctor_617,Cardiology,22,Mumbai
618,Doctor_618,Neurology,22,Hyderabad
619,Doctor_619,Orthopedics,26,Chennai
620,Doctor_620,Neurology,2,Hyderabad
621,Doctor_621,Cardiology,12,Chennai
622,Doctor_622,Neurology,13,Bangalore
623,Doctor_623,Neurology,22,Hyderabad
624,Doctor_624,Cardiology,22,Bangalore
625,Doctor_625,Orthopedics,31,Chennai
626,Doctor_626,Neurology,31,Mumbai
627,Doctor_627,Cardiology,3,Bangalore
628,Doctor_628,Neurology,9,Chennai
629,Doctor_629,Cardiology,31,Bangalore
630,Doctor_630,Orthopedics,10,Hyderabad
631,Doctor_631,General,30,Chennai
632,Doctor_632,Orthopedics,35,Chennai
633,Doctor_633,General,22,Mumbai
634,Doctor_634,General,30,Chennai
