PO_ID,SupplierID,MaterialID,PlantID,OrderDate,Quantity
70,1,90,1,2022-04-14 22:13:39,196
71,54,80,5,2022-12-03 21:30:57,51
72,25,36,1,2023-06-27 12:54:06,59
73,2,28,4,2022-06-27 21:57:48,483
74,30,93,4,2024-07-30 18:44:19,174
75,3,47,3,2024-05-03 10:09:48,130
76,58,76,1,2022-03-11 23:10:01,189
77,21,30,2,2024-11-04 22:10:04,375
78,25,23,3,2022-10-24 19:56:14,199
79,20,16,4,2023-01-30 02:31:04,337
80,49,14,1,2022-08-25 05:49:59,410
81,52,74,5,2023-11-02 12:44:50,389
82,22,71,2,2024-06-12 08:08:15,178
83,21,52,4,2022-12-27 01:28:30,487
84,33,37,3,2023-09-05 23:17:01,288
85,52,29,1,2023-09-20 19:51:57,107
86,38,67,2,2022-11-04 18:46:12,247
87,15,15,1,2022-02-16 04:50:18,260
88,58,100,5,2022-04-05 12:02:42,451
89,58,47,3,2023-10-15 11:05:32,439
90,46,46,1,2024-02-03 15:17:32,94
91,52,52,4,2024-12-27 10:14:59,146
92,15,19,3,2022-01-03 21:30:31,328
93,46,77,4,2023-05-13 17:42:36,72
94,25,21,1,2024-07-15 18:12:27,459
95,21,64,3,2023-09-30 08:26:12,440
96,24,37,4,2024-10-06 22:23:05,384
97,57,27,5,2022-09-30 04:58:35,93
98,58,55,5,2023-02-04 16:36:07,76
99,5,29,1,2023-03-26 07:52:40,331
100,6,20,3,2023-05-13 09:04:51,146
101,49,25,2,2023-08-31 04:42:46,85
102,43,70,3,2022-01-05 20:56:33,158
103,48,63,5,2022-08-09 08:20:07,104
104,44,36,4,2023-01-24 06:54:31,241
105,47,2,2,2024-10-21 03:49:58,268
106,23,22,1,2024-11-21 02:20:04,234
107,4,96,2,2023-06-28 19:21:00,118
108,27,16,1,2022-02-01 20:38:10,366
109,18,18,2,2023-07-16 03:21:40,179
110,21,69,1,2024-02-28 08:06:14,104
111,28,54,1,2022-07-26 13:53:28,427
112,35,100,2,2024-03-09 06:07:15,146
113,22,30,2,2024-07-11 09:22:51,385
114,40,45,1,2022-10-12 05:02:08,136
115,23,19,5,2024-02-08 11:07:45,343
116,3,87,2,2023-06-09 22:19:56,168
117,40,34,3,2024-12-26 08:12:41,257
118,50,13,4,2023-09-17 09:20:38,383
119,10,43,1,2022-12-15 22:14:51,462
120,25,62,1,2024-08-18 07:08:25,203
121,52,93,4,2023-01-01 22:19:34,84
122,49,100,5,2022-08-10 12:08:37,128
123,8,22,4,2024-11-20 16:18:25,116
124,55,52,2,2024-08-06 12:32:10,392
125,11,52,4,2024-10-02 01:42:13,462
126,5,36,1,2022-02-08 02:26:27,83
127,58,73,4,2023-07-05 05:08:20,146
128,45,19,3,2023-11-01 19:56:02,218
129,53,38,2,2022-12-05 18:15:23,218
130,55,70,4,2024-08-10 12:38:42,200
131,37,79,1,2023-07-08 08:31:42,120
132,56,57,2,2024-01-29 17:56:13,52
133,59,20,1,2022-04-17 05:47:59,363
134,45,9,5,2022-05-30 06:21:11,81
135,38,32,3,2023-09-24 21:15:20,336
136,29,4,5,2023-11-18 09:36:14,131
137,5,50,3,2022-03-05 13:49:12,92
138,9,82,4,2023-07-13 06:53:31,440
139,59,5,2,2024-12-29 09:24:06,154
140,48,20,4,2024-01-26 06:56:34,50
141,2,87,3,2022-04-29 00:32:54,110
142,1,75,3,2024-06-21 19:20:45,319
143,40,37,3,2022-03-14 21:10:42,229
144,51,22,1,2024-07-23 03:35:01,273
145,30,58,2,2024-04-03 15:04:03,55
146,11,68,4,2022-03-25 08:04:22,152
147,28,93,4,2022-12-01 01:26:08,59
148,44,44,5,2024-05-16 03:13:50,120
149,12,34,3,2024-05-15 17:14:29,139
150,39,77,3,2024-01-29 18:11:51,275
151,26,42,3,2024-09-16 12:45:05,207
152,13,9,4,2022-08-09 20:15:23,277
153,59,95,5,2022-11-06 02:11:27,454
154,8,7,1,2024-04-19 22:44:34,175
155,54,68,2,2022-01-25 06:58:49,493
156,28,19,1,2023-12-31 10:12:32,258
157,58,94,4,2024-11-20 16:03:10,146
158,30,31,3,2024-09-18 23:28:44,123
159,9,35,2,2024-01-14 01:47:56,164
160,39,57,4,2023-11-02 03:23:06,240
161,31,85,4,2022-07-10 13:43:37,219
162,58,61,4,2023-12-30 07:15:45,356
163,21,31,2,2024-12-14 11:16:40,497
164,56,83,2,2022-10-04 19:37:41,253
165,47,95,5,2022-05-21 07:47:35,105
166,34,53,5,2022-07-06 19:05:53,257
167,55,32,1,2023-01-10 00:33:26,90
168,31,66,2,2023-04-22 04:26:45,81
169,52,59,2,2024-02-18 11:11:57,64
170,25,10,2,2024-08-08 07:17:44,111
171,12,2,5,2022-01-29 19:09:04,204
172,1,66,4,2023-10-14 13:14:21,333
173,55,60,3,2024-10-27 05:56:39,258
174,22,88,5,2023-09-15 20:47:06,369
175,40,17,2,2023-06-10 10:59:37,236
176,37,96,5,2022-02-28 21:28:59,491
177,47,16,1,2024-11-17 04:11:46,179
178,1,16,2,2024-11-03 19:23:54,176
179,1,46,1,2024-05-28 06:48:05,341
180,57,39,2,2022-09-13 11:49:16,163
181,42,31,5,2023-09-04 10:30:37,248
182,54,88,4,2023-01-29 04:25:22,62
183,42,1,3,2024-01-11 00:35:37,320
184,21,11,1,2024-12-17 11:10:39,138
185,15,85,5,2024-03-22 09:38:28,264
186,17,4,4,2022-10-29 10:19:35,493
187,22,71,5,2024-04-18 18:05:26,327
188,38,26,1,2022-04-01 17:29:01,496
189,35,50,3,2022-10-29 22:44:10,252
190,45,12,5,2023-02-15 02:16:51,123
191,16,95,2,2023-02-12 04:07:11,74
192,8,81,4,2022-01-21 20:32:31,150
193,47,97,5,2022-04-08 16:52:37,225
194,17,75,4,2024-01-04 13:08:10,476
195,17,92,2,2024-12-29 08:56:38,166
196,54,96,3,2022-11-29 09:46:48,215
197,26,65,3,2024-06-04 11:52:12,90
198,13,47,2,2024-05-21 23:06:40,478
199,17,92,4,2022-07-23 07:32:44,393
200,38,53,5,2024-08-25 15:31:19,473
201,17,71,2,2024-12-03 10:34:31,415
202,48,2,1,2024-12-21 12:49:57,169
203,14,24,4,2022-04-26 01:34:59,146
204,45,4,3,2023-10-26 15:51:30,194
205,6,19,2,2023-09-19 18:29:09,265
206,35,26,3,2024-03-02 20:43:50,278
207,46,75,4,2024-12-28 05:49:52,362
208,14,40,3,2022-12-01 08:05:46,179
209,47,50,2,2022-09-23 20:26:13,401
210,8,43,4,2023-02-22 10:10:51,426
211,15,75,1,2022-12-16 17:07:34,367
212,54,67,2,2023-08-21 22:39:36,186
213,27,12,5,2023-02-05 06:34:34,373
214,13,67,2,2024-10-10 19:44:41,386
215,49,27,4,2024-05-27 20:45:40,322
216,31,54,2,2023-07-04 03:59:28,166
217,53,66,1,2022-03-26 07:09:37,355
218,56,49,1,2022-03-23 05:25:55,417
219,35,16,5,2024-02-01 22:58:44,143
220,6,2,3,2023-07-07 11:05:12,217
221,5,60,4,2023-06-10 02:07:58,491
222,22,54,4,2023-02-25 01:20:16,252
223,58,30,3,2023-08-11 05:29:19,390
224,49,84,1,2024-03-16 18:03:48,198
225,23,38,1,2023-09-13 23:03:11,451
226,25,28,2,2024-04-28 04:36:47,232
227,34,25,5,2024-12-24 02:22:43,462
228,26,96,5,2023-08-03 04:38:21,201
229,47,10,5,2022-01-02 23:34:37,123
230,5,60,2,2024-01-04 20:55:26,414
231,26,42,5,2024-06-20 12:22:07,450
232,20,40,3,2023-04-19 10:46:20,323
233,6,97,2,2024-03-03 11:27:56,91
234,6,77,3,2024-08-14 01:40:46,261
235,59,42,2,2024-04-24 18:56:30,150
236,50,47,5,2022-08-01 17:42:40,94
237,18,37,3,2022-11-26 03:52:55,131
238,4,80,3,2023-12-10 05:09:07,66
239,17,22,3,2024-07-25 13:33:10,122
240,57,57,2,2024-06-26 15:16:33,63
241,14,84,4,2022-03-17 23:01:05,482
242,14,27,5,2023-07-20 17:18:05,206
243,13,41,3,2023-11-08 10:48:17,272
244,7,80,4,2024-03-03 17:09:34,181
245,44,34,5,2023-02-23 08:37:34,387
246,55,32,5,2022-10-28 13:14:02,453
247,15,90,3,2024-07-20 21:27:13,425
248,19,89,3,2022-11-13 22:50:11,425
249,43,66,2,2023-12-13 23:47:02,96
250,47,12,4,2024-10-19 00:08:39,156
251,44,40,4,2023-01-18 03:30:22,157
252,35,73,3,2022-08-19 01:49:49,314
253,17,76,5,2022-08-15 14:09:50,254
254,35,90,3,2024-09-08 00:18:20,128
255,19,73,5,2024-04-26 04:34:48,204
256,20,10,5,2022-12-29 06:51:13,320
257,36,96,3,2023-03-16 10:28:55,296
258,35,98,1,2024-06-19 20:09:03,68
259,32,48,4,2024-09-27 14:25:00,395
260,58,20,5,2023-12-10 13:46:07,485
261,48,39,5,2023-06-17 15:50:53,75
262,44,60,1,2022-09-19 17:03:47,266
263,40,66,2,2023-10-09 14:21:36,203
264,24,65,1,2022-05-18 13:28:44,203
265,17,51,1,2022-12-16 09:42:24,223
266,7,36,5,2022-10-08 07:42:06,141
267,43,24,4,2023-10-31 05:19:39,482
268,50,27,1,2022-01-17 23:34:16,387
269,1,2,2,2024-02-02 20:55:56,230
270,35,31,3,2024-10-18 05:45:05,180
271,32,57,1,2023-07-12 05:44:49,499
272,36,78,1,2022-06-07 07:51:17,347
273,13,66,2,2022-09-02 07:23:08,324
274,6,29,4,2022-04-11 07:32:06,322
275,58,15,1,2022-10-02 10:34:06,466
276,14,12,1,2023-01-21 15:27:56,125
277,37,28,4,2023-04-23 18:46:48,226
278,48,84,2,2023-10-27 16:56:05,233
279,15,24,1,2022-02-01 07:30:21,368
280,47,21,4,2023-11-27 10:10:15,180
281,4,10,1,2024-12-17 10:47:54,412
282,40,78,3,2022-09-19 06:58:09,98
283,59,18,5,2023-06-25 01:20:16,104
284,16,88,3,2023-11-16 08:12:20,203
285,28,14,1,2022-12-09 19:32:29,404
286,16,34,2,2022-03-22 08:24:23,249
287,4,58,5,2023-03-19 04:55:56,357
288,45,76,3,2024-03-03 11:49:40,405
289,26,22,4,2022-08-10 16:05:16,422
290,28,70,2,2022-07-09 14:11:00,167
291,32,36,3,2022-09-12 16:25:57,312
292,45,45,4,2023-02-13 06:03:14,95
293,2,36,1,2024-09-24 00:27:16,351
294,31,22,4,2023-01-21 10:03:59,405
295,3,78,3,2023-04-17 20:57:21,449
296,54,80,3,2024-05-09 19:37:35,457
297,8,61,1,2023-09-25 07:17:04,238
298,24,100,4,2023-09-07 12:08:10,359
299,15,56,4,2024-10-17 11:35:44,367
300,43,89,1,2022-11-27 10:26:01,178
301,31,96,4,2024-01-07 08:40:22,98
302,9,33,1,2022-04-16 02:29:21,74
303,39,45,2,2023-10-03 00:09:56,315
304,45,36,3,2022-08-15 02:36:22,167
305,2,20,2,2023-02-20 07:21:05,193
306,8,18,5,2022-04-25 08:08:37,491
307,7,38,5,2022-04-05 14:59:36,249
308,56,67,5,2023-04-23 09:09:24,206
309,44,23,1,2023-12-19 21:16:03,397
310,51,96,4,2022-03-23 17:05:03,183
311,39,16,2,2022-03-04 23:23:59,449
312,42,59,2,2022-03-12 08:07:14,197
313,57,69,2,2023-02-15 16:19:48,385
314,16,68,2,2024-04-12 06:06:31,120
315,35,21,5,2023-05-10 20:36:24,282
316,30,78,2,2023-09-11 15:37:40,383
317,10,95,4,2024-06-29 23:56:25,348
318,38,78,5,2022-02-13 23:46:00,203
319,18,70,2,2023-08-03 09:17:53,139
320,50,12,1,2022-01-12 06:51:52,383
321,5,16,3,2023-03-12 00:59:15,248
322,53,81,3,2023-10-08 04:57:57,210
323,29,87,3,2022-01-07 10:23:59,75
324,39,14,5,2022-01-08 02:35:01,170
325,34,61,2,2023-04-29 14:05:21,350
326,43,71,5,2023-07-29 21:05:58,261
327,45,46,4,2022-05-22 14:35:08,112
328,23,32,1,2023-12-03 08:55:22,485
329,5,15,1,2022-09-11 18:11:57,117
330,30,44,3,2022-03-01 06:40:32,302
331,6,17,3,2022-09-20 10:18:57,459
332,56,41,3,2022-07-20 13:27:34,51
333,58,54,2,2023-10-13 18:31:26,447
334,46,44,4,2024-06-16 21:39:12,157
335,44,98,4,2023-09-09 01:12:35,335
336,4,5,4,2022-09-10 14:57:21,98
337,29,27,4,2023-06-07 03:16:42,189
338,23,87,3,2024-02-22 21:51:37,267
339,6,78,1,2024-04-17 19:07:20,93
340,32,79,3,2022-08-04 18:05:23,466
341,42,43,4,2023-07-31 04:27:39,318
342,18,97,3,2023-12-11 19:27:57,127
343,15,31,4,2023-11-26 20:49:19,265
344,40,99,5,2023-11-22 07:24:17,431
345,58,17,1,2022-01-13 23:08:33,147
346,32,92,5,2022-04-29 01:52:41,285
347,9,83,2,2023-01-19 03:49:11,331
348,37,54,3,2024-04-15 16:10:52,198
349,10,62,2,2024-07-16 19:17:11,461
350,20,87,3,2024-11-17 11:03:45,353
351,6,32,5,2024-01-01 20:44:37,473
352,48,40,4,2024-10-08 04:15:44,115
353,56,13,4,2022-11-29 05:36:36,283
354,59,84,3,2024-08-19 05:39:50,136
355,3,35,4,2022-05-08 20:38:20,128
356,42,5,5,2023-03-19 03:02:01,254
357,11,73,4,2022-05-02 21:29:52,328
358,43,29,5,2024-05-29 15:46:22,386
359,17,70,2,2024-02-02 10:38:45,303
360,32,25,5,2023-05-08 15:55:30,353
361,4,95,1,2022-01-24 11:42:21,429
362,4,22,1,2022-07-04 18:09:37,179
363,17,66,1,2022-11-17 12:25:39,133
364,41,45,3,2024-09-25 16:56:34,325
365,19,69,3,2023-12-21 21:47:35,236
366,5,91,3,2023-02-13 20:14:09,95
367,32,89,5,2024-06-21 00:57:13,436
368,22,72,3,2022-08-16 03:27:35,232
369,56,1,2,2022-03-04 03:28:57,317
370,6,84,1,2022-12-22 04:17:04,345
371,35,44,5,2023-07-26 19:02:27,371
372,22,87,1,2023-11-17 00:54:11,149
373,1,96,3,2024-08-11 01:33:37,127
374,20,75,5,2022-06-29 19:07:22,321
375,22,39,4,2024-04-28 19:16:44,388
376,48,54,2,2024-07-27 03:10:12,211
377,55,88,3,2022-06-19 13:23:37,93
378,11,75,3,2022-04-01 22:46:37,287
379,13,29,2,2024-01-17 05:20:08,183
380,59,54,2,2022-12-14 02:10:02,241
381,42,90,4,2023-10-28 04:33:50,405
382,3,16,3,2024-04-02 07:41:29,327
383,9,99,3,2024-03-06 14:01:22,67
384,12,20,1,2022-11-13 14:50:26,61
385,23,46,5,2024-06-27 11:00:21,229
386,14,67,5,2024-01-17 19:58:15,172
387,33,65,1,2022-11-02 15:39:06,295
388,18,58,5,2022-01-30 17:21:41,271
389,49,53,2,2023-11-22 19:36:21,422
390,59,1,5,2023-08-21 13:30:24,100
391,41,81,5,2024-01-07 13:48:07,120
392,9,66,1,2022-11-11 21:30:39,97
393,23,29,4,2022-10-10 16:24:14,68
394,10,84,5,2024-12-24 21:53:25,311
395,19,70,5,2023-05-18 14:59:02,133
396,47,8,4,2022-09-15 05:31:39,204
397,5,29,1,2023-07-09 00:14:26,102
398,47,51,4,2024-08-28 11:36:29,156
399,52,33,1,2022-04-03 19:16:45,406
400,23,3,2,2022-02-27 01:01:16,353
