ProductionID,PlantID,MaterialID,ProductionDate,ProducedQty
132,3,35,2024-04-04 06:43:33,502
133,2,82,2022-12-20 01:54:46,422
134,2,5,2023-09-29 15:21:59,309
135,2,14,2022-08-31 20:05:03,714
136,4,92,2024-07-18 00:14:11,428
137,1,30,2024-02-07 21:18:56,471
138,5,4,2024-08-10 20:10:40,559
139,1,39,2022-03-24 14:55:12,232
140,4,84,2024-10-14 14:56:00,934
141,2,64,2022-03-29 14:04:36,750
142,3,25,2022-04-19 01:10:11,220
143,2,28,2024-03-28 01:48:28,705
144,5,76,2024-05-09 15:10:21,551
145,3,66,2023-05-25 16:57:18,228
146,2,78,2023-01-17 15:02:26,190
147,3,22,2024-09-03 07:46:18,703
148,1,31,2024-04-06 20:15:17,674
149,4,23,2024-04-16 13:44:12,128
150,2,48,2023-03-03 18:14:49,821
151,5,20,2024-01-07 22:25:16,623
152,1,38,2023-12-30 02:42:31,432
153,2,55,2024-08-14 10:14:22,396
154,1,68,2024-01-11 09:05:13,229
155,5,79,2023-03-23 05:46:10,392
156,2,88,2022-12-31 16:13:11,272
157,5,89,2022-01-31 19:08:11,819
158,3,1,2022-06-25 14:44:51,123
159,5,7,2022-10-03 03:38:55,198
160,3,57,2024-10-21 07:57:27,505
161,2,95,2024-12-10 11:10:07,455
162,3,12,2022-07-04 22:20:42,238
163,2,5,2024-11-06 07:57:04,602
164,2,50,2022-06-17 23:46:58,925
165,4,42,2023-12-04 08:43:33,273
166,2,12,2024-09-25 00:16:14,128
167,3,18,2022-01-26 08:57:51,595
168,4,66,2023-07-23 03:29:18,754
169,4,74,2022-12-16 08:16:33,927
170,2,79,2024-09-30 20:04:16,450
171,5,94,2022-08-28 23:22:54,653
172,5,17,2022-09-25 14:03:47,398
173,4,68,2023-06-05 13:10:02,819
174,2,71,2024-12-17 21:44:36,941
175,5,62,2023-04-01 20:24:44,291
176,2,41,2024-02-02 12:41:45,771
177,2,95,2022-04-26 11:55:54,163
178,4,34,2023-07-01 18:15:45,854
179,4,70,2024-01-25 15:33:53,869
180,1,45,2023-11-06 10:20:22,763
181,5,58,2023-06-21 18:46:01,314
182,5,51,2022-04-15 02:20:06,933
183,5,34,2024-10-17 18:19:50,265
184,3,44,2022-04-26 11:08:42,642
185,2,15,2024-10-06 08:43:18,982
186,4,78,2023-03-26 09:04:02,331
187,5,70,2023-03-22 11:36:43,893
188,1,50,2024-02-19 17:36:06,640
189,5,32,2022-07-06 05:46:24,294
190,2,67,2024-10-31 18:08:25,605
191,2,3,2023-04-01 16:56:00,433
192,4,86,2023-04-29 10:26:44,867
193,3,86,2023-05-03 03:51:11,892
194,4,74,2022-01-16 13:04:14,403
195,5,51,2024-06-19 19:46:09,932
196,1,67,2022-02-06 13:30:16,536
197,4,76,2024-09-17 21:13:34,422
198,3,93,2023-09-14 08:24:38,601
199,4,48,2022-08-04 13:26:55,957
200,2,17,2023-12-18 18:08:19,492
201,5,7,2024-02-04 17:03:45,905
202,5,13,2023-02-13 09:00:19,698
203,5,66,2022-05-16 14:33:03,248
204,5,4,2024-10-19 13:01:15,860
205,5,10,2024-11-04 05:42:36,932
206,5,88,2024-10-07 22:49:36,504
207,1,17,2022-01-16 09:32:43,382
208,3,52,2022-02-09 21:27:19,461
209,5,6,2023-03-01 09:32:18,478
210,3,83,2022-10-16 17:00:13,297
211,5,69,2024-07-26 22:21:44,655
212,4,96,2023-08-24 14:37:42,455
213,5,74,2023-06-27 08:39:52,639
214,2,9,2024-01-05 22:16:47,528
215,1,91,2024-04-09 20:10:33,116
216,4,77,2023-10-22 04:23:46,738
217,4,83,2023-12-14 06:25:04,478
218,2,21,2023-11-01 17:11:32,779
219,5,24,2024-03-25 10:20:47,605
220,1,4,2024-05-06 14:35:30,855
221,4,24,2022-09-22 11:31:33,998
222,1,59,2024-01-10 00:44:07,175
223,4,99,2024-07-05 02:35:22,330
224,5,3,2024-01-11 07:51:08,815
225,4,68,2023-04-27 08:14:43,347
226,4,40,2022-07-11 21:12:20,401
227,3,48,2023-11-14 15:14:43,825
228,5,54,2023-06-11 20:35:47,314
229,2,35,2024-05-19 00:06:59,257
230,2,95,2024-06-18 17:30:27,168
231,5,56,2023-03-22 23:07:32,492
232,2,89,2023-03-08 16:26:57,184
233,5,40,2023-05-28 17:45:21,366
234,2,77,2022-10-27 12:54:45,168
235,3,68,2023-06-14 02:11:13,710
236,2,46,2024-11-03 15:58:12,446
237,4,78,2022-07-05 14:51:18,827
238,5,13,2024-05-28 09:11:10,772
239,1,27,2024-03-11 09:40:54,522
240,1,6,2023-03-25 07:11:24,705
241,5,17,2023-01-21 13:46:29,273
242,3,36,2024-03-03 18:05:13,776
243,2,99,2024-06-17 02:30:44,214
244,3,81,2024-03-05 01:35:11,319
245,1,2,2023-06-07 23:09:47,130
246,5,77,2022-12-14 20:03:42,622
247,5,52,2024-02-15 01:52:50,442
248,3,66,2024-09-15 18:56:08,476
249,3,52,2024-07-10 07:08:14,229
250,2,92,2023-01-02 04:13:24,716
251,4,43,2022-08-01 15:25:39,638
252,4,90,2022-12-07 01:19:43,838
253,2,22,2024-06-15 22:49:17,101
254,4,55,2023-07-12 00:37:14,970
255,1,67,2024-04-17 15:42:26,200
256,4,99,2023-01-10 04:27:37,632
257,2,60,2022-12-05 08:52:09,157
258,4,58,2023-08-22 15:33:06,488
259,5,12,2024-05-10 06:40:19,791
260,3,88,2023-10-23 02:37:38,440
261,1,69,2022-08-30 17:19:36,960
262,5,84,2023-10-26 11:31:06,119
263,5,39,2022-07-16 03:54:12,354
264,2,13,2022-08-18 00:29:05,416
265,3,41,2023-01-25 09:36:15,137
266,3,57,2023-06-24 04:20:19,759
267,1,53,2022-10-08 03:10:03,636
268,2,12,2024-10-15 12:10:04,485
269,1,13,2022-01-14 04:13:42,732
270,4,74,2024-02-25 12:07:39,125
271,5,97,2023-06-28 10:10:12,553
272,1,57,2023-08-26 23:12:16,780
273,5,40,2022-08-17 09:57:13,422
274,2,80,2023-08-09 07:34:55,836
275,4,45,2022-06-11 14:25:13,612
276,2,35,2022-05-29 23:47:54,918
277,4,3,2024-07-10 04:40:48,872
278,4,5,2024-02-02 06:37:56,112
279,5,90,2024-10-20 03:37:13,659
280,2,11,2024-07-17 15:49:28,924
281,2,71,2022-05-22 01:08:48,470
282,1,56,2022-09-22 18:28:51,390
283,2,10,2022-08-26 20:15:31,431
284,1,34,2022-02-04 01:23:29,705
285,3,67,2024-06-13 15:34:32,360
286,3,72,2024-12-01 08:01:01,889
287,3,31,2022-10-24 04:27:36,970
288,2,75,2022-07-04 01:08:44,304
289,2,71,2023-02-11 13:32:44,796
290,1,66,2022-11-10 17:33:37,786
291,4,70,2022-04-25 13:34:05,486
292,1,41,2022-10-14 23:13:28,991
293,3,63,2022-12-22 13:05:18,920
294,1,32,2022-06-10 02:57:09,567
295,4,20,2022-02-01 17:20:55,514
296,2,57,2023-05-18 17:11:05,168
297,1,98,2022-01-16 23:23:08,571
298,3,50,2024-06-29 00:17:07,203
299,3,80,2022-03-29 03:49:37,857
300,2,25,2024-10-03 07:49:05,260
301,1,12,2024-11-14 17:11:20,299
302,4,71,2022-03-31 22:20:32,315
303,2,39,2023-06-07 03:14:51,311
304,1,17,2024-03-20 08:20:31,607
305,5,45,2023-07-04 11:22:42,115
306,3,11,2022-04-25 00:22:21,597
307,4,70,2024-05-30 09:54:49,983
308,4,23,2023-11-13 01:24:15,431
309,4,91,2024-01-13 23:51:01,816
310,3,70,2024-04-20 17:45:16,976
311,1,38,2024-04-29 21:11:05,650
312,2,2,2022-06-14 18:15:45,700
313,1,86,2022-11-12 21:50:49,355
314,2,84,2024-09-02 19:31:10,865
315,4,89,2024-11-14 22:54:11,827
316,1,79,2022-12-23 18:30:17,979
317,4,93,2022-12-17 02:31:11,914
318,5,72,2023-12-12 15:25:00,271
319,4,37,2024-01-25 03:23:47,748
320,4,49,2023-01-06 15:23:34,597
321,2,52,2022-11-25 13:46:53,570
322,5,33,2024-06-16 03:36:19,483
323,4,22,2023-04-21 10:42:44,789
324,4,5,2024-12-02 21:49:59,688
325,5,18,2022-05-23 22:37:31,799
326,5,38,2024-09-22 06:14:57,606
327,1,37,2023-11-20 23:57:31,626
328,2,94,2022-09-15 06:07:00,903
329,5,95,2023-06-19 04:17:57,930
330,5,64,2024-09-08 07:18:28,424
331,3,10,2023-03-08 21:24:46,313
332,5,79,2022-01-28 17:45:16,307
333,2,42,2023-01-07 18:44:47,268
334,4,48,2024-02-15 11:33:52,429
335,4,44,2024-06-22 09:23:09,379
336,4,82,2024-12-16 08:58:42,404
337,4,87,2022-11-15 09:27:57,245
338,3,97,2024-12-15 14:06:03,874
339,5,16,2022-01-24 19:27:24,615
340,4,54,2022-06-21 18:54:58,189
341,1,35,2024-03-19 01:33:13,552
342,4,98,2022-06-14 19:40:40,159
343,5,28,2023-06-14 23:51:24,410
344,4,2,2023-09-21 00:09:33,627
345,3,94,2023-09-23 06:53:54,326
346,2,13,2022-08-21 19:44:45,573
347,2,41,2023-12-25 20:53:23,640
348,5,80,2023-05-08 16:13:12,762
349,2,59,2024-12-02 23:52:18,856
350,2,69,2023-05-27 10:40:12,881
351,1,92,2024-05-16 06:58:51,178
352,5,53,2023-09-26 00:21:54,532
353,5,45,2023-02-20 00:45:42,900
354,2,20,2022-01-12 07:11:04,252
355,2,24,2024-07-10 04:37:21,888
356,2,61,2023-01-12 05:48:44,500
357,3,91,2024-07-14 16:10:29,378
358,4,94,2022-03-26 11:34:03,156
359,3,58,2023-03-10 19:48:46,285
360,5,27,2024-06-27 03:15:55,497
361,1,26,2022-09-19 06:18:22,704
362,4,7,2023-12-17 01:32:52,887
363,1,42,2023-02-21 21:38:01,257
364,5,47,2022-02-03 22:57:45,886
365,5,53,2024-11-14 01:38:51,792
366,1,59,2024-05-14 12:53:29,458
367,1,38,2023-10-15 08:02:07,539
368,1,69,2024-01-15 21:50:47,688
369,5,87,2024-05-30 13:16:26,565
370,2,92,2024-04-27 20:58:38,762
371,1,98,2024-05-18 05:49:12,545
372,4,53,2022-05-22 13:09:53,849
373,5,15,2023-09-04 13:02:28,900
374,3,96,2022-01-02 16:28:13,842
375,3,26,2023-02-12 10:56:06,587
376,4,48,2022-05-20 18:39:58,629
377,2,95,2024-06-03 08:31:01,172
378,1,19,2024-09-08 03:41:41,800
379,5,9,2022-06-26 10:40:54,116
380,1,64,2024-07-14 19:36:34,630
381,5,93,2022-06-06 17:55:14,830
382,3,54,2022-10-15 12:03:37,425
383,1,51,2023-05-09 14:37:44,731
384,4,39,2022-06-26 19:22:37,712
385,2,4,2024-01-25 17:15:03,645
386,4,3,2022-02-20 16:37:25,695
387,2,64,2024-01-23 15:35:06,807
388,1,29,2024-01-31 08:18:03,941
389,1,11,2022-03-24 18:11:05,301
390,2,97,2024-03-07 10:36:32,443
391,3,58,2023-07-31 09:53:45,952
392,5,75,2022-02-25 02:51:55,622
393,4,27,2022-08-22 06:25:52,958
394,4,97,2023-06-09 15:54:41,499
395,4,21,2022-09-07 11:30:46,317
396,1,39,2022-07-17 04:24:01,544
397,4,95,2023-07-08 10:07:21,864
398,5,46,2024-08-18 00:09:56,321
399,5,66,2022-03-30 00:18:43,482
400,2,91,2024-04-08 17:55:57,980
