ShipmentID,PlantID,Destination,ShipDate,TransportCost
101,2,USA,2023-08-04 10:14:24,2952
102,4,USA,2022-12-07 14:59:23,442
103,3,India,2022-08-13 12:05:25,2084
104,5,India,2022-11-19 21:54:48,1632
105,3,India,2024-04-04 15:13:08,2750
106,3,Europe,2022-11-03 08:26:34,502
107,2,Asia,2022-11-16 05:40:31,4530
108,1,Europe,2024-09-09 08:57:53,3309
109,3,USA,2023-08-17 15:29:04,2386
110,4,Asia,2024-12-03 09:43:46,4490
111,1,India,2024-12-24 23:43:56,1750
112,4,Europe,2023-08-09 13:56:18,1992
113,4,Europe,2023-09-17 13:39:05,846
114,1,India,2024-03-11 08:40:25,4856
115,1,Europe,2023-08-09 01:30:15,912
116,4,India,2024-09-10 18:00:50,4708
117,2,USA,2024-10-12 16:41:53,737
118,5,Asia,2022-09-20 06:22:41,434
119,5,USA,2024-05-31 06:57:56,2596
120,2,USA,2022-01-03 04:04:46,1704
121,1,India,2023-02-12 05:06:54,1574
122,4,Europe,2023-01-17 19:59:13,4711
123,5,USA,2023-11-28 03:23:36,2109
124,4,USA,2022-07-13 09:20:38,1115
125,2,USA,2022-01-21 01:29:51,4158
126,4,Europe,2024-12-08 05:41:18,280
127,2,Europe,2022-10-20 08:48:46,2283
128,1,India,2023-03-12 12:42:53,2888
129,2,USA,2022-02-03 21:43:06,1890
130,2,Asia,2023-12-26 09:56:04,956
131,5,Europe,2023-10-19 15:10:39,2870
132,4,India,2022-07-25 06:28:37,3951
133,5,USA,2023-01-25 03:59:11,3752
134,3,Asia,2023-06-27 05:33:39,667
135,2,Europe,2023-11-05 06:18:04,1694
136,3,Asia,2023-02-04 11:31:27,1219
137,5,Europe,2024-08-19 17:41:31,1101
138,4,India,2024-09-22 16:40:04,872
139,5,Asia,2022-05-03 18:43:11,638
140,4,USA,2022-01-27 12:40:56,4422
141,4,USA,2022-04-09 22:19:56,2276
142,1,Europe,2024-05-09 03:53:43,644
143,2,USA,2024-09-28 03:12:55,1165
144,5,Asia,2022-06-17 04:18:12,3990
145,4,India,2022-02-18 23:56:24,663
146,5,Europe,2023-06-20 05:26:26,2398
147,5,Asia,2022-06-05 05:34:26,2487
148,4,Europe,2022-06-25 20:35:44,3965
149,3,India,2023-10-30 19:58:48,3376
150,2,Europe,2024-01-01 02:46:03,4208
151,2,USA,2024-10-19 09:59:36,3704
152,1,USA,2022-05-26 21:04:40,1112
153,1,Europe,2024-07-29 16:38:52,696
154,1,India,2022-02-03 06:09:42,1663
155,2,India,2023-12-16 23:55:06,4453
156,3,USA,2024-09-13 23:50:59,4467
157,2,India,2023-04-28 06:22:36,693
158,2,Europe,2023-04-16 20:41:52,1626
159,2,Asia,2023-10-13 06:23:29,1892
160,2,Europe,2023-07-20 03:19:09,1993
161,3,USA,2024-01-09 01:30:42,2923
162,1,USA,2023-07-06 20:11:57,858
163,5,USA,2023-01-22 19:55:46,4961
164,1,India,2023-09-19 04:37:42,4662
165,1,Europe,2024-02-25 08:42:14,749
166,5,Asia,2023-12-04 00:05:49,842
167,2,Europe,2023-06-20 18:31:13,4550
168,3,Asia,2022-07-06 06:35:40,407
169,3,Europe,2024-08-01 03:16:25,2697
170,1,USA,2023-09-15 13:59:52,4390
171,5,Asia,2022-10-06 08:24:44,2083
172,4,Europe,2024-09-30 15:49:35,3086
173,2,India,2024-01-17 05:54:48,677
174,1,India,2022-02-09 16:46:25,961
175,3,Europe,2023-08-21 17:17:42,389
176,5,USA,2023-09-23 23:42:55,955
177,5,Asia,2023-02-25 22:25:00,1646
178,1,Europe,2022-10-24 13:32:05,1863
179,4,India,2022-03-23 16:36:15,2035
180,3,Asia,2024-01-26 06:59:28,4428
181,1,India,2023-12-26 08:01:26,4350
182,4,India,2023-09-22 01:03:31,4260
183,5,Europe,2024-01-05 07:45:52,4805
184,2,India,2022-12-19 10:00:40,4965
185,3,Asia,2023-04-29 15:34:15,3812
186,3,USA,2024-09-23 19:49:05,1889
187,4,Europe,2024-02-08 23:55:38,1516
188,1,Asia,2023-06-19 04:00:21,3386
189,5,Europe,2022-12-04 02:30:02,4220
190,4,India,2022-04-30 18:19:38,4554
191,2,India,2022-06-14 16:29:04,1345
192,2,Asia,2022-04-27 22:49:47,4594
193,2,Asia,2024-03-27 08:21:08,760
194,4,USA,2023-10-15 23:10:04,2112
195,5,Asia,2022-05-07 03:05:02,2064
196,3,Asia,2023-02-14 16:59:40,496
197,1,Europe,2022-01-09 19:04:08,2609
198,3,India,2024-05-08 21:39:06,2836
199,5,Asia,2022-11-04 13:58:21,1661
200,3,USA,2022-12-20 12:24:38,4492
201,4,Asia,2023-01-05 19:39:02,2468
202,2,India,2024-06-01 23:41:56,1194
203,5,Asia,2022-01-18 19:32:32,207
204,5,Europe,2022-07-23 17:10:53,2791
205,3,India,2023-11-16 04:17:12,2715
206,4,Asia,2024-01-15 05:45:41,4615
207,3,Europe,2022-01-10 17:46:58,1617
208,3,India,2024-06-03 22:40:15,2516
209,5,Asia,2023-01-21 02:13:40,4132
210,3,Europe,2022-09-21 12:34:09,1487
211,2,USA,2023-03-20 02:19:16,3044
212,3,Europe,2024-01-10 15:07:56,1318
213,2,USA,2024-09-09 21:17:00,752
214,5,Asia,2024-07-01 17:25:51,860
215,4,Europe,2023-05-01 04:35:58,915
216,2,USA,2023-01-25 13:17:33,3785
217,4,India,2022-10-04 03:19:35,3961
218,4,Europe,2024-05-23 19:34:41,2729
219,2,Asia,2024-05-26 09:12:23,4170
220,5,India,2023-09-19 14:24:35,3607
221,1,USA,2024-02-04 09:34:17,1658
222,4,Europe,2023-05-29 21:52:04,3467
223,4,Europe,2023-07-04 23:05:48,1054
224,5,Asia,2024-04-20 01:38:08,4960
225,5,India,2022-01-03 12:03:14,3737
226,3,Europe,2024-03-16 03:02:26,2097
227,5,Europe,2024-05-01 15:48:51,472
228,4,India,2024-11-17 12:31:30,4287
229,2,Europe,2023-11-11 17:14:15,1472
230,1,India,2024-11-03 12:53:22,4574
231,3,India,2024-06-18 05:28:06,4219
232,2,India,2023-10-16 12:23:06,1015
233,1,Asia,2022-01-12 23:13:43,4571
234,1,India,2022-12-16 00:43:08,1122
235,1,India,2023-05-06 00:09:45,4937
236,2,USA,2024-09-01 09:14:03,4800
237,3,USA,2022-10-31 11:43:52,1464
238,3,Asia,2024-04-01 06:34:06,3924
239,1,India,2022-11-28 03:42:10,2987
240,2,USA,2023-01-07 08:17:06,2922
241,1,USA,2024-09-16 00:15:38,4423
242,5,Europe,2022-04-02 15:53:04,2750
243,3,India,2024-12-23 06:54:32,3149
244,4,USA,2023-02-11 14:53:38,1873
245,1,Asia,2022-02-21 18:50:20,4787
246,5,Europe,2022-04-12 02:54:17,3292
247,3,Europe,2022-01-12 09:57:55,3038
248,2,India,2023-12-30 05:32:16,1866
249,3,India,2022-11-06 22:56:04,4711
250,2,Europe,2022-02-09 06:47:00,2395
251,2,Asia,2022-04-25 03:04:45,1584
252,1,India,2024-09-07 06:51:06,4603
253,1,India,2023-07-28 15:19:41,4154
254,3,Europe,2022-12-31 06:08:39,3099
255,5,Europe,2024-06-09 08:26:43,260
256,3,India,2023-12-24 14:59:50,4147
257,4,USA,2022-11-21 09:07:01,2490
258,2,India,2023-08-22 03:35:31,672
259,2,USA,2023-06-20 08:12:13,1158
260,1,Europe,2022-11-01 16:24:50,732
261,5,USA,2024-02-28 02:01:02,693
262,1,Asia,2022-04-19 04:42:28,281
263,4,Europe,2023-12-07 08:09:48,3170
264,3,India,2024-06-29 17:04:59,211
265,3,India,2023-05-01 19:36:21,4744
266,5,Europe,2024-08-20 15:39:53,961
267,1,Europe,2023-05-06 22:59:59,3385
268,1,Asia,2024-04-06 18:19:16,225
269,4,Europe,2024-08-31 07:30:30,2006
270,3,India,2022-08-12 23:09:14,4357
271,1,Asia,2023-01-21 16:07:33,4524
272,5,India,2024-03-09 05:40:41,4902
273,3,USA,2024-05-02 01:49:53,3859
274,4,Europe,2024-09-03 11:11:40,1725
275,5,USA,2024-01-05 11:30:04,960
276,2,India,2024-04-13 20:19:24,794
277,4,USA,2022-02-26 06:51:39,1255
278,5,USA,2024-11-17 20:13:52,2054
279,1,India,2022-09-23 21:35:35,3283
280,2,India,2024-02-29 17:04:31,4116
281,4,Europe,2022-08-14 07:49:03,3875
282,1,USA,2024-01-02 18:19:19,2248
283,2,Asia,2022-04-29 02:30:07,1658
284,3,Asia,2024-01-31 18:40:54,1419
285,1,India,2024-06-29 19:43:06,4428
286,5,India,2024-09-22 23:12:16,4381
287,4,USA,2023-07-08 14:25:46,1699
288,2,India,2024-03-12 15:12:03,2030
289,1,Asia,2022-02-09 05:55:19,3595
290,3,Europe,2023-05-21 04:28:56,1403
291,4,Europe,2023-03-16 22:14:29,4470
292,4,USA,2022-03-09 22:55:48,3010
293,1,Europe,2023-02-20 21:34:12,3292
294,3,India,2024-03-28 10:52:09,3244
295,2,India,2024-11-17 11:12:58,4873
296,1,India,2023-02-14 00:17:22,3714
297,2,India,2023-03-25 12:39:55,1998
298,4,USA,2024-05-11 16:33:11,2775
299,2,Europe,2024-03-16 05:39:25,344
300,3,Asia,2022-11-08 11:12:23,4126
301,5,Europe,2023-05-13 08:35:59,1577
302,3,India,2024-06-11 04:20:59,3346
303,2,Asia,2023-01-17 20:39:00,2025
304,1,USA,2023-02-25 23:45:59,993
305,4,India,2024-05-05 04:38:49,1801
306,5,India,2024-09-20 06:36:39,4614
307,1,Asia,2024-11-09 05:59:14,1310
308,1,USA,2022-04-29 16:32:49,4253
309,3,Asia,2022-10-10 09:08:56,4993
310,2,USA,2022-12-27 16:37:21,4137
311,3,India,2024-01-17 19:38:00,4163
312,2,Europe,2024-01-25 18:48:19,982
313,3,India,2023-11-14 16:20:12,1316
314,1,Europe,2024-11-29 07:39:45,1950
315,4,Europe,2024-01-25 01:43:05,2776
316,2,USA,2022-11-01 07:39:44,4227
317,5,Asia,2022-06-30 03:40:19,3536
318,5,USA,2022-04-12 01:31:36,4587
319,1,India,2023-02-16 12:55:39,1687
320,3,Asia,2022-01-31 16:53:28,4075
321,3,Europe,2022-05-22 21:41:55,3831
322,1,Europe,2022-06-08 11:30:48,4392
323,5,India,2023-12-13 18:57:02,4158
324,5,Asia,2024-08-07 18:56:27,3597
325,3,India,2024-08-22 06:20:21,273
326,2,India,2022-05-06 21:24:57,1559
327,4,USA,2023-10-30 19:21:17,1291
328,2,India,2023-08-22 06:19:01,2141
329,5,Asia,2022-11-30 22:03:40,3348
330,2,India,2023-03-20 09:55:29,4503
331,4,Asia,2024-04-16 03:17:25,1444
332,2,Europe,2023-03-21 11:24:35,1485
333,2,India,2023-12-24 11:53:51,4705
334,2,Asia,2024-09-25 23:23:58,3236
335,2,Europe,2024-07-06 03:21:19,970
336,1,Asia,2023-12-31 07:55:56,2043
337,5,Europe,2024-04-02 01:31:34,273
338,4,USA,2022-06-07 17:49:44,1860
339,5,India,2023-11-19 10:32:38,4549
340,1,India,2022-03-06 04:03:43,1019
341,1,Europe,2022-11-29 02:40:21,4018
342,1,USA,2022-05-31 08:54:14,531
343,1,Asia,2023-04-03 03:25:44,1621
344,2,USA,2022-01-14 13:29:18,3855
345,5,Asia,2022-07-13 07:31:09,1891
346,3,Asia,2022-03-03 01:34:45,4750
347,4,India,2024-11-23 02:53:16,4608
348,1,Europe,2023-12-06 05:58:45,427
349,5,India,2024-05-09 21:14:04,3081
350,1,India,2023-08-17 10:51:27,3065
351,1,India,2024-05-19 14:07:00,2775
352,1,Asia,2024-12-15 11:24:41,4722
353,1,India,2023-07-04 14:43:46,664
354,1,Asia,2022-10-04 08:25:08,477
355,4,Europe,2024-06-24 15:17:32,4314
356,5,Asia,2024-06-13 20:51:13,265
357,1,Asia,2023-01-07 10:41:09,4462
358,1,USA,2022-12-17 05:57:55,602
359,1,India,2022-07-28 23:58:16,4183
360,1,India,2023-10-31 20:31:39,4704
361,2,India,2023-10-09 17:47:39,3678
362,2,India,2022-10-04 16:11:26,3644
363,3,USA,2022-12-27 09:40:55,4892
364,1,USA,2023-09-08 12:45:58,4619
365,3,USA,2024-10-14 09:11:09,3239
366,4,USA,2023-03-08 12:08:13,1637
367,3,India,2024-06-12 05:10:45,628
368,5,Asia,2022-01-15 19:22:52,2882
369,2,Europe,2024-07-29 18:16:32,2977
370,2,USA,2024-04-23 11:18:18,3578
371,1,Asia,2024-05-29 00:04:34,592
372,1,USA,2023-11-08 07:55:40,4741
373,4,India,2022-01-29 08:30:51,541
374,4,India,2024-05-02 01:00:16,332
375,5,Asia,2023-05-04 17:07:53,464
376,1,Asia,2023-02-21 15:09:39,4388
377,1,Asia,2024-03-02 00:57:12,1885
378,4,India,2022-02-05 15:14:42,1634
379,4,India,2024-12-24 08:45:15,1860
380,4,Europe,2023-08-24 03:32:21,4017
381,2,Asia,2023-02-16 08:54:14,2554
382,3,Europe,2024-01-08 05:23:55,465
383,3,USA,2023-11-01 18:27:09,4941
384,1,Europe,2024-08-20 09:01:20,1336
385,2,USA,2022-11-23 14:28:31,4749
386,4,USA,2024-08-23 01:44:30,1590
387,1,Europe,2024-03-24 16:31:00,1312
388,2,Asia,2024-05-24 21:31:20,2434
389,5,USA,2023-12-12 09:14:17,3066
390,2,Asia,2022-05-16 01:11:40,3268
391,1,India,2022-10-18 21:44:14,2379
392,3,USA,2024-12-07 07:27:07,834
393,4,India,2022-11-06 16:37:24,3831
394,5,Europe,2023-10-21 05:25:56,1599
395,2,Asia,2024-12-27 18:21:18,4986
396,1,Europe,2022-02-05 07:01:47,2939
397,1,USA,2023-06-22 19:10:21,3370
398,4,India,2022-11-17 22:45:37,2065
399,1,USA,2022-12-12 14:24:43,2155
400,1,Europe,2022-02-02 10:16:58,4877
